time,language,tense,word_per_minute
2024-04-29T11:50:58-06:00,Spanish,Conjugation,Present,22
2024-04-29T11:52:22-06:00,Spanish,Conjugation,Preterite,23
2024-04-29T11:53:51-06:00,Spanish,Conjugation,Present,20
2024-04-29T11:55:44-06:00,Spanish,Conjugation,Present,22
2024-04-29T12:08:11-06:00,Spanish,Conjugation,Present,20
2024-04-29T12:15:23-06:00,Spanish,Conjugation,Present,21
2024-04-29T12:16:53-06:00,Spanish,Conjugation,Present,27
2024-04-29T12:18:11-06:00,Spanish,Conjugation,Present,18
2024-04-29T12:28:50-06:00,Spanish,Conjugation,Present,16
2024-04-29T13:34:15-06:00,Spanish,Conjugation,Present,3
2024-04-29T14:22:51-06:00,Spanish,Conjugation,Present,4

2024-04-29T14:32:04-06:00,Spanish,Conjugation,Present,4
2024-04-29T19:13:59-06:00,Spanish,Conjugation,Present,18
2024-04-29T19:28:34-06:00,Spanish,Conjugation,Present,17
2024-04-29T21:03:43-06:00,Spanish,Conjugation,present,19
2024-04-29T21:04:51-06:00,Spanish,Conjugation,preterite,17
2024-04-30T07:51:46-06:00,Spanish,Conjugation,present,22
2024-04-30T07:55:08-06:00,Spanish,Conjugation,preterite,17
2024-04-30T12:54:58-06:00,Spanish,Conjugation,present,19
2024-04-30T13:50:43-06:00,Spanish,Conjugation,present,17
2024-04-30T14:53:41-06:00,Spanish,Conjugation,present,22
2024-04-30T19:37:56-06:00,Spanish,Conjugation,present,21
2024-04-30T19:51:18-06:00,Spanish,Conjugation,present,22
2024-04-30T20:23:47-06:00,Spanish,Conjugation,preterite,3
2024-04-30T20:49:28-06:00,Spanish,Conjugation,present,3
2024-04-30T22:14:28-06:00,Spanish,Conjugation,imperfect,6
2024-05-01T07:51:03-06:00,Spanish,Conjugation,present,23
2024-05-01T07:54:22-06:00,Spanish,Conjugation,preterite,15
2024-05-01T07:55:46-06:00,Spanish,Conjugation,imperfect,14
2024-05-01T10:50:27-06:00,Spanish,Conjugation,future,2
2024-05-01T10:51:39-06:00,Spanish,Conjugation,future,4
2024-05-01T15:09:59-06:00,Spanish,Conjugation,imperative,0
2024-05-01T21:09:39-06:00,Spanish,Conjugation,present,18
2024-05-01T21:11:37-06:00,Spanish,Conjugation,imperative,4
2024-05-01T21:12:46-06:00,Spanish,Conjugation,preterite,17
2024-05-01T21:58:51-06:00,Spanish,Conjugation,present,20
2024-05-02T07:51:59-06:00,Spanish,Conjugation,present,23
2024-05-02T07:55:14-06:00,Spanish,Conjugation,preterite,20
2024-05-03T08:06:35-06:00,Spanish,Conjugation,present,22
2024-05-03T08:10:08-06:00,Spanish,Conjugation,preterite,20
2024-05-03T08:57:48-06:00,Spanish,Conjugation,future,7
2024-05-03T15:44:19-06:00,Spanish,Conjugation,future,8
2024-05-03T21:01:46-06:00,Spanish,Conjugation,future,9
2024-05-04T09:16:43-06:00,Spanish,Conjugation,present,22
2024-05-04T09:19:53-06:00,Spanish,Conjugation,preterite,18
2024-05-04T09:23:05-06:00,Spanish,Conjugation,future,11
2024-05-05T08:28:51-06:00,Spanish,Conjugation,present,22
2024-05-05T08:32:02-06:00,Spanish,Conjugation,preterite,18
2024-05-05T08:35:19-06:00,Spanish,Conjugation,future,10
2024-05-06T08:05:26-06:00,Spanish,Conjugation,present,24
2024-05-06T08:09:16-06:00,Spanish,Conjugation,preterite,19
2024-05-06T08:12:28-06:00,Spanish,Conjugation,future,13
2024-05-07T07:57:36-06:00,Spanish,Conjugation,present,23
2024-05-07T08:00:48-06:00,Spanish,Conjugation,preterite,21
2024-05-07T08:04:03-06:00,Spanish,Conjugation,future,14
2024-05-08T08:19:15-06:00,Spanish,Conjugation,present,21
2024-05-08T08:22:23-06:00,Spanish,Conjugation,preterite,12
2024-05-08T08:25:32-06:00,Spanish,Conjugation,preterite,17
2024-05-08T08:28:44-06:00,Spanish,Conjugation,future,12
2024-05-09T08:43:20-06:00,Spanish,Conjugation,present,21
2024-05-09T08:46:28-06:00,Spanish,Conjugation,preterite,19
2024-05-09T08:49:36-06:00,Spanish,Conjugation,future,16
2024-05-10T08:26:35-06:00,Spanish,Conjugation,present,23
2024-05-10T08:29:48-06:00,Spanish,Conjugation,preterite,20
2024-05-10T08:33:00-06:00,Spanish,Conjugation,future,14
2024-05-11T08:26:43-06:00,Spanish,Conjugation,present,22
2024-05-11T08:30:20-06:00,Spanish,Conjugation,preterite,15
2024-05-11T08:33:29-06:00,Spanish,Conjugation,future,17
2024-05-11T08:36:39-06:00,Spanish,Conjugation,preterite,15
2024-05-11T18:45:33-06:00,Spanish,Vocabulary,present,8

2024-05-11T18:48:41-06:00,Spanish,Conjugation,present,18
2024-05-11T20:56:04-06:00,Spanish,Vocabulary,adjectives,24
